****************************************
Report : report_global_slack
Design : multdiv
Version: K-2015.06-SP3-2
Date   : Wed Apr 28 12:37:20 2021
****************************************

       Max_Rise      Max_Fall   Point
----------------------------------------------------------
              *             *   data_operandA[31]
              *             *   data_operandA[30]
              *             *   data_operandA[29]
              *             *   data_operandA[28]
              *             *   data_operandA[27]
              *             *   data_operandA[26]
              *             *   data_operandA[25]
              *             *   data_operandA[24]
              *             *   data_operandA[23]
              *             *   data_operandA[22]
              *             *   data_operandA[21]
              *             *   data_operandA[20]
              *             *   data_operandA[19]
              *             *   data_operandA[18]
              *             *   data_operandA[17]
              *             *   data_operandA[16]
              *             *   data_operandA[15]
              *             *   data_operandA[14]
              *             *   data_operandA[13]
              *             *   data_operandA[12]
              *             *   data_operandA[11]
              *             *   data_operandA[10]
              *             *   data_operandA[9]
              *             *   data_operandA[8]
              *             *   data_operandA[7]
              *             *   data_operandA[6]
              *             *   data_operandA[5]
              *             *   data_operandA[4]
              *             *   data_operandA[3]
              *             *   data_operandA[2]
              *             *   data_operandA[1]
              *             *   data_operandA[0]
              *             *   data_operandB[31]
              *             *   data_operandB[30]
              *             *   data_operandB[29]
              *             *   data_operandB[28]
              *             *   data_operandB[27]
              *             *   data_operandB[26]
              *             *   data_operandB[25]
              *             *   data_operandB[24]
              *             *   data_operandB[23]
              *             *   data_operandB[22]
              *             *   data_operandB[21]
              *             *   data_operandB[20]
              *             *   data_operandB[19]
              *             *   data_operandB[18]
              *             *   data_operandB[17]
              *             *   data_operandB[16]
              *             *   data_operandB[15]
              *             *   data_operandB[14]
              *             *   data_operandB[13]
              *             *   data_operandB[12]
              *             *   data_operandB[11]
              *             *   data_operandB[10]
              *             *   data_operandB[9]
              *             *   data_operandB[8]
              *             *   data_operandB[7]
              *             *   data_operandB[6]
              *             *   data_operandB[5]
              *             *   data_operandB[4]
              *             *   data_operandB[3]
              *             *   data_operandB[2]
              *             *   data_operandB[1]
              *             *   data_operandB[0]
              *             *   ctrl_MULT
              *             *   ctrl_DIV
              *             *   clock
              *             *   test_si1
              *             *   test_si2
              *             *   test_si3
              *             *   test_se
              *             *   test_so1
              *             *   test_so2
              *             *   test_so3
              *             *   U226/A1
              *             *   U226/A2
              *             *   U226/A3
              *             *   U226/A4
              *             *   U226/ZN
              *             *   U227/A1
              *             *   U227/A2
              *             *   U227/A3
              *             *   U227/A4
              *             *   U227/ZN
              *             *   U228/A1
              *             *   U228/A2
              *             *   U228/A3
              *             *   U228/A4
              *             *   U228/ZN
              *             *   U229/A1
              *             *   U229/A2
              *             *   U229/A3
              *             *   U229/A4
              *             *   U229/ZN
              *             *   U231/A1
              *             *   U231/A2
              *             *   U231/A3
              *             *   U231/ZN
              *             *   U232/A1
              *             *   U232/A2
              *             *   U232/A3
              *             *   U232/A4
              *             *   U232/ZN
              *             *   U233/A1
              *             *   U233/A2
              *             *   U233/A3
              *             *   U233/A4
              *             *   U233/ZN
              *             *   U234/A1
              *             *   U234/A2
              *             *   U234/A3
              *             *   U234/A4
              *             *   U234/ZN
              *             *   U237/A1
              *             *   U237/A2
              *             *   U237/A3
              *             *   U237/A4
              *             *   U237/ZN
              *             *   U238/A1
              *             *   U238/A2
              *             *   U238/A3
              *             *   U238/A4
              *             *   U238/ZN
              *             *   U239/A1
              *             *   U239/A2
              *             *   U239/A3
              *             *   U239/A4
              *             *   U239/ZN
              *             *   U240/A1
              *             *   U240/A2
              *             *   U240/A3
              *             *   U240/A4
              *             *   U240/ZN
              *             *   U243/A1
              *             *   U243/A2
              *             *   U243/A3
              *             *   U243/A4
              *             *   U243/ZN
              *             *   U244/A1
              *             *   U244/A2
              *             *   U244/A3
              *             *   U244/A4
              *             *   U244/ZN
              *             *   U245/A1
              *             *   U245/A2
              *             *   U245/A3
              *             *   U245/A4
              *             *   U245/ZN
              *             *   U248/A1
              *             *   U248/A2
              *             *   U248/A3
              *             *   U248/A4
              *             *   U248/ZN
              *             *   U249/A1
              *             *   U249/A2
              *             *   U249/A3
              *             *   U249/A4
              *             *   U249/ZN
              *             *   U251/A1
              *             *   U251/A2
              *             *   U251/A3
              *             *   U251/A4
              *             *   U251/ZN
              *             *   U283/A1
              *             *   U283/A2
              *             *   U283/A3
              *             *   U283/A4
              *             *   U283/ZN
          -2.16         -2.23   U646/A1
          -2.19         -2.16   U646/A2
          -2.23         -2.19   U646/ZN
              *             *   U728/A
              *             *   U728/ZN
              *             *   U729/A
              *             *   U729/ZN
              *             *   U730/A
              *             *   U730/ZN
              *             *   U731/A
              *             *   U731/ZN
              *             *   U732/A
